STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : AGRI BAYINDIRLIK VE ISKAN MUD.
EARTHQUAKE DATE         : 23/10/2011
EPICENTER COORDINATES   : 
EARTHQUAKE DEPTH (km)   : 
EARTHQUAKE MAGNITUDE    : 
STATION ID              : 401
STATION COORDINATES     : 39.71991N-43.01585E
STATION ALTITUDE (m)    : 1610
RECORDER TYPE           : CMG-5TD
RECORDER SERIAL NO      : 5D60
RECORD TIME             : 23/10/2011 10:40:43 (GMT)
NUMBER OF DATA          : 22241
SAMPLING INTERVAL (sec) : 0.01000000
RAW PGA VALUES (cm/s^2) : (N-S)  18.459245 (E-W)  15.087845 (U-D)   7.217400
Copyright EARTHQUAKE RESEARCH DEPARTMENT 
GENERAL DIRECTORATE OF DISASTER AFFAIRS 
       N-S           E-W           U-D
    -0.273021       0.092015       0.021693  
     0.073826       0.165892       0.263471  
     0.092608      -0.231668      -0.037185  
     0.054418      -0.257337      -0.243886  
     0.105756       0.322412       0.017935  
     0.094487       0.366237       0.208977  
     0.050661      -0.254833      -0.105459  
    -0.304325      -0.118974      -0.203172  
    -0.150936       0.205961       0.126923  
     0.180885      -0.023810       0.160747  
     0.143321      -0.193477      -0.019647  
     0.011218      -0.053861      -0.152437  
    -0.026973       0.133336       0.026078  
     0.081965       0.290482       0.209604  
    -0.071424      -0.285510      -0.122997  
    -0.360672      -0.141512      -0.135525  
    -0.046381       0.245404       0.109385  
     0.321753       0.048189       0.138198  
     0.192155      -0.102069      -0.079778  
    -0.121510      -0.140260      -0.171854  
    -0.050764       0.276082       0.145088  
     0.079461       0.080745       0.116901  
    -0.088328      -0.388813      -0.196282  
